Time,Mode,Decision,Score,RR,Followed
2026-04-25 11:42:16.346851,range,CAUTION,3,2.5,Yes
2026-04-25 12:04:35.618473,Range,REJECTED,0,0.0,Yes
2026-04-25 12:04:51.297856,Range,🔥 STRONG,8,1.5,Yes
2026-04-25 12:05:15.598612,Range,⚠ MODERATE,6,1.5,Yes
2026-04-25 12:05:40.878130,Breakout,⚠ MODERATE,6,1.5,Yes
2026-04-25 12:05:56.536085,Breakout,⚠ MODERATE,5,1.5,Yes
2026-04-25 14:46:25.175864,Opening,REJECTED,0,0.0,Yes
2026-04-25 14:48:33.301788,Opening,❌ WEAK,2,0.0,Yes
2026-04-25 14:48:43.804644,Opening,⚠ MODERATE,4,0.0,Yes
2026-04-25 14:54:23.806887,Opening,❌ WEAK,3,0.0,Yes
2026-04-25 14:54:43.367823,Opening,⚠ MODERATE,5,2.0,Yes
